voter,licensed,philippines,gender,age,working,industry,years_service,institution,tenure,gross_salary,net_salary,benefits1,benefits2,benefits3,benefits4,benefits5,otherbenefits1,otherbenefits2,otherbenefits3,otherbenefits4,materials1,materials2,materials3,materials4,materials5,materials6,materials7,othermaterials1,othermaterials2,othermaterials3,othermaterials4,position,fiveyears,pursue,education,enrolled,completing,study_again,5yearsdegree,cpd1,cpd2,cpd3,cpd4,cpdsupport1,cpdsupport2,cpdsupport3,cpdsatisfaction,cpdbarriers1,cpdbarriers2,cpdbarriers3,topics1,topics2,topics3,topics4,topics5,location,worktravel,filipino,dialect,foreignlang,type,roles,institutionposition,primaryjob,affiliation,factor
17,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,25,"Yes, I am currently employed by an institution, agency, individual or similar.",library,2,government,permanent,20,18,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,monetary allowances,NA,NA,Grocery bonus,NA,NA,NA,law materials and resources,institutional files and records,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),No (planning to shift to other fields or industry),Law,Bachelor's degree (BLIS),Yes,Juris Doctor / Bachelor of Laws,Maybe,NA,government facilitated trainings and symposiums,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.","budget, permission from supervisor due to shifting in schedule at work or request for leave credits for CPD attendance,",NA,NA,NA,NA,NA,NA,NA,NCR,Yes,Yes,NA,NA,Law Library/Special Library,NA,Librarian I,Indexing,PLAI,"friends, batchmates"
18,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,41,"Yes, I am currently employed by an institution, agency, individual or similar.",library,12,private (in-house),permanent,23,NA,paid vacation and/or sick leaves,monetary allowances,NA,NA,NA,"Health Welfare Assistance Prog.
Professional Dev't Prog.
Dental and Eye Check up
APE
50%discount on post graduate studies
Discount on siblings/children education",NA,NA,NA,institutional files and records,"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,hardcopy theses and dissertations,data sets,NA,NA,No more,NA,NA,NA,supervisory / mid-management level,Yes,N/A,Master's degree (MLIS),No.,NA,Maybe,Short | Certificate | Diploma Program,government facilitated trainings and symposiums,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,from the work place (private sponsorship),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",Budget,NA,NA,Trends and challenges in the porofession,NA,NA,NA,NA,Region IV,No,Yes,Others,N/A,Academic,High School Teacher,Head librarian,All of them,"PLAI, PAARL,PASLI","Develop my knowledge and skills/ networking/linkages, camaraderie with in the people on the profession"
19,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,29,"Yes, I am currently employed by an institution, agency, individual or similar.",library,5,government,permanent,20,18,paid vacation and/or sick leaves,monetary allowances,NA,NA,NA,Special Leave,NA,NA,NA,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,regular / senior staff (non-supervisory),Yes,NA,Master's degree (MLIS),No.,NA,Maybe,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,Maybe,"Limited budget in the school for the seminar/training fee. The fee is usually shouldered by us.
DepEd Order is not provided.",NA,NA,NA,NA,NA,NA,NA,Region IV,Yes,Yes,NA,NA,Public School LIbrary,NA,Sole Librarian,"Administration / Management, Cataloging / Bibliographic Control, Collection Development, Reference, Records Officer / Manager",PLAI,NA
20,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,26,"Yes, I am currently employed by an institution, agency, individual or similar.",library,NA,private (in-house),permanent,34,28,paid vacation and/or sick leaves,monetary allowances,health card and/or insurance other than PhilHealth,night differential pay,NA,NA,NA,NA,NA,institutional files and records,archives (physical),"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,NA,NA,NA,"Realia, incunabula",NA,NA,NA,supervisory / mid-management level,Yes,NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),No,NA,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",Costs,lack of funding/sponsorship/subsidy by employer,NA,NA,NA,NA,NA,NA,NCR,Yes,Yes,Others,Chavacano,Academic,"Archivist, Researcher",Supervisor working other librarians,Administration/Management,NA,NA
21,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,22,"Yes, I am currently employed by an institution, agency, individual or similar.",library,1,private (in-house),contractual,NA,NA,monetary allowances,NA,NA,NA,NA,NA,NA,NA,NA,institutional files and records,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Maybe / Undecided,NA,Bachelor's degree (BLIS),No.,NA,Maybe,Master's degree (MLIS),NA (Have not attended CPD Trainings yet),NA,NA,NA,NA (Have not attended CPD Trainings yet),NA,NA,NA (Have not attended CPD Trainings yet),Budget,NA,NA,none,NA,NA,NA,NA,Region IV,No,Yes,NA,none,School library,none.,Junior staff,"Bibliographic Control, Collection Development, Reference",PLAI,NA
22,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,25,"Yes, I am currently employed by an institution, agency, individual or similar.",library,3,private (in-house),contractual,20,17,paid vacation and/or sick leaves,night differential pay,NA,NA,NA,Educational Support,NA,NA,NA,hardcopy books / pamphlets / etc,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Maybe / Undecided,NA,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (MLIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",Budget approval,NA,NA,"Indexing, Library Management, Archiving",NA,NA,NA,NA,NCR,Yes,Yes,Others,English,Academic Library,Consultant,Librarian,Aviation Librarian,"PLAI, PAARL",NA
23,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,21,"Yes, I am currently employed by an institution, agency, individual or similar.",library,1,non-profit,contractual,NA,NA,NONE / Not Applicable,NA,NA,NA,NA,NA,NA,NA,NA,institutional files and records,hardcopy theses and dissertations,law materials and resources,hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Yes,NA,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (MLIS),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,NA (Have not attended CPD Trainings yet),NA,NA,NA,NA,NA,NA,NA,NA,Region IV,No,Yes,NA,NA,Academic,NA,Jusnior Staff,NA,NA,NA
24,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,48,"Yes, I am currently employed by an institution, agency, individual or similar.",library,22,private (in-house),permanent,21,22,monetary allowances,health card and/or insurance other than PhilHealth,NA,NA,NA,Graduate studies benefit.,NA,NA,NA,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,None,NA,NA,NA,consultant / freelancer / self-employed,Yes,NA,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),Maybe,Short | Certificate | Diploma Program,"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"Yes, the amount of trainings I received within the last two (2) years is enough.","I like CPD per se, what I don't like is making it as requirement for renewal of professional license.  It should have been better if CPD units are earned out of need by the professional, not by enforced requirement by PRC.",NA,NA,Preservation & Conservation,NA,NA,NA,NA,NCR,No,No,Cebuano,None,Academic,"Archivist, University Instructor",Librarian-Archivist,Manager,"PLAI, PATLS, SFA",connection with present work
25,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,33,"Yes, I am currently employed by an institution, agency, individual or similar.",library,5,private (in-house),permanent,34,30,health card and/or insurance other than PhilHealth,NA,NA,NA,NA,NA,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,hardcopy theses and dissertations,NA,NA,NA,NA,NA,NA,NA,NA,upper management level / top tier executive,Yes,NA,Master's degree (MLIS),Yes,Master's degree (non-MLIS),Yes,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,NA,from the work place (private sponsorship),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",Excessive workloads...,NA,NA,Current trends in the 21st century particularly in the teacher education,NA,NA,NA,NA,Region IV,No,Yes,Others,None,Academic Library,"Program Head, School of Teacher Education","Head Librarian / Program Head, STE","Administration, management, cataloging",PLAI,CPD
26,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,22,"Yes, I am currently employed by an institution, agency, individual or similar.",library,1,private (in-house),contractual,16,15,free shuttle service,NA,NA,NA,NA,NA,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Yes,NA,Bachelor's degree (BLIS),No.,NA,Yes,Master's degree (MLIS),NA (Have not attended CPD Trainings yet),NA,NA,NA,from the work place (private sponsorship),NA,NA,"Yes, the amount of trainings I received within the last two (2) years is enough.",NA,NA,NA,NA,NA,NA,NA,NA,Region V,No,Yes,Others,NA,NA,NA,Junior Librarian,Management,PLAI,Professional growth and development
27,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Man,23,"Yes, I am currently employed by an institution, agency, individual or similar.",library,2,private (BPO),contractual,27,25,monetary allowances,free shuttle service,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,NA,NA,NA,NA,NA,"electronic material (digital titles, digital archives, etc)",hardcopy books / pamphlets / etc,NA,NA,NA,NA,NA,NA,NA,NA,NA,entry level / junior staff,Yes,NA,Bachelor's degree (BLIS),Yes,Master's degree (MLIS),Yes,Doctor of Philosophy (Ph.D),"trainings and symposiums facilitated by private entities, individuals and/or corporations",government facilitated trainings and symposiums,NA,NA,from the work place (private sponsorship),personal funding (personally attended trainings and symposiums and shouldered most of the expenses),NA,"No, the amount of trainings I received within the last two (2) years is not enough.",financial,NA,NA,"IT in the realms of LIS, school librarianship, developments that would impact the library other than digital formats.",NA,NA,NA,NA,NCR,Yes,Yes,Others,NA,School Library,NA,Readers' Services Librarian for the Lower Grades,Readers' Services,"PLAI, PASLI, LAQueP-LInc, MUNPARLAS",NA
28,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,44,"Yes, I am currently employed by an institution, agency, individual or similar.",library,22,private (in-house),permanent,NA,NA,health card and/or insurance other than PhilHealth,paid vacation and/or sick leaves,monetary allowances,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29,"Yes, I have a valid and up-to-date PRC license for librarians","Yes, I am currently residing and staying in the Philippines",Woman,23,"Yes, I am currently employed by an institution, agency, individual or similar.",library,1,private (in-house),permanent,NA,NA,monetary allowances,free shuttle service,night differential pay,paid vacation and/or sick leaves,health card and/or insurance other than PhilHealth,"Free lunch
Free uniforms
Discounted tuition fee from the institution for self (grad school) and beneficiaries
etc etc",NA,NA,NA,hardcopy books / pamphlets / etc,hardcopy theses and dissertations,"electronic material (digital titles, digital archives, etc)",NA,NA,NA,NA,AV materials,NA,NA,NA,entry level / junior staff,Yes,NA,Bachelor's degree (BLIS),Yes,Master's degree (non-MLIS),Maybe,NA,within the work place (in-house trainings),"trainings and symposiums facilitated by private entities, individuals and/or corporations",NA,NA,from the work place (private sponsorship),NA,NA,"No, the amount of trainings I received within the last two (2) years is not enough.",NA,NA,NA,NA,NA,NA,NA,NA,NCR,No,Yes,NA,NA,School library,NA,Sole librarian,Administration,PLAI,Membership fees and my eligibility
